"原始·前传","","林业","","污秽之地","","又是那片熟悉的森林，又是那个未完结的故事","","冰火传说","","极光之境，似梦犹醒","","团队开发",""
"砧板","","简易蜂房","","击败悼亡者","","空白迷宫地图","","击败神话生物","","月宫内室钥匙","","lonelyxiya的头",""
"小麦","","榨汁机","","附魔强化","","击杀冰雪女王","","击败塞壬","","女王之削片镐","","YeZi1337的头",""
"访问维度: 主世界","","坚固部件","","法杖","","进度","","解读","","月宫内室钥匙碎片","","",""
"浸泡壶","","Habitat Former","","发现书卷之龙","","击败米诺菇","","击败龙","","打开暗石地牢的钥匙","","",""
"锻造炉","","发条引擎","","战利品","","击杀雪怪首领","","龙食","","击败蛛母","","",""
"工作桌","","离心机","","获得毁灭锭","","击败米诺菇","","空龙壶","","战利品","","",""
"灰烬","","Forestry","","治疗平台","","击败九头蛇","","驯服海马","","定位月宫岛","","",""
"燧石镐","","便携式多用分析仪","","击败毁灭者","","空白魔法地图","","发现小精灵","","定位器","","",""
"简陋的锤","","泥炭引擎","","获得黑色心脏","","获取迷宫地图核心","","3级火龙头兑换4级火龙头任务","","击败皎月女王","","",""
"机械风箱","","驱蜂烟雾","","招魂石","","进度","","龙鳞护甲","","符石地牢守卫奖励","","",""
"石切割机","","沼气引擎","","击杀污秽史莱姆","","前往巨魔洞穴","","龙鳞","","极光之境，似梦犹醒","","",""
"5x Any stickWood","","集雨蓄水槽","","怪味糖","","各色羊毛","","耳塞","","打开符石地牢的大门","","",""
"10x 植物纤维","","木工机","","击败悼亡者","","冲破云霄","","龙血","","极光钢锭","","",""
"储物盒","","写字台","","全新的矿石","","云层之上","","闪光鳞片","","月光融锻台","","",""
"木桶","","蜂箱","","造访污秽之地","","搭建传送门","","浓稠的药水","","进入暗石地牢","","",""
"晾干架","","热电子加工台","","全新材料","","击杀雪怪","","海蟒鳞片","","进入月宫内室","","",""
"粘土剪刀","","","","发现招魂坛","","击杀暮色恶魂","","击败海蟒","","粉碎器","","",""
"挤压桶","","","","悲伤人偶","","击杀九头蛇","","眼罩","","月凝晶锭","","",""
"燧石钳","","","","毁灭精华","","击杀巫妖","","冰火传说","","皎月之盾","","",""
"耐火砖","","","","查看书龙的属性","","The END","","寻龙之眼","","极光粘液靴子","","",""
"花岗岩砧","","","","BOSS战","","出发！击杀娜迦！","","神秘的手稿","","击败蛛母","","",""
"风箱","","","","书龙的圈养","","激活陷阱","","击败蛇发女妖","","击败皎月女王","","",""
"简陋的晾干架","","","","毁灭工具","","进度","","龙首龙心","","战利品","","",""
"燧石","","","","击败毁灭者","","击杀娜迦","","龙之骨","","新的材料","","",""
"坑窑","","","","","","发现巨型黑曜石","","4级火龙头兑换5级火龙头任务","","进入月宫","","",""
"燧石和火绒","","","","","","找到幻影骑士迷宫","","沙漠恐蚁权杖","","发现新的矿石","","",""
"骨镐","","","","","","寻找巨人领地","","为龙制作强大的防具","","定位符石地牢","","",""
"","","","","","","羊羊君你在哪","","龙骨长笛","","前往极光幽静的准备工作","","",""
"","","","","","","终局即将到来","","与鸡蛇互动","","本影锭","","",""
"","","","","","","击杀巫妖王","","海蟒套装","","打开藏宝室","","",""
"","","","","","","暮色森林","","蛇发女妖头颅","","战利品","","",""
"","","","","","","击败暮色恶魂！","","驯服奇珍异兽","","The END","","",""
"","","","","","","击败冰雪女王","","驯服骏鹰","","击败符石守卫","","",""
"","","","","","","","","发现蚁穴","","定位暗石地牢","","",""
"","","","","","","","","驯龙工具","","守卫之弓","","",""
"","","","","","","","","腐败之卵","","击败符石守卫","","",""
"","","","","","","","","获得龙蛋","","进入符石地牢","","",""
"","","","","","","","","","","皎月宝石","","",""
"","","","","","","","","","","月宫钥匙","","",""
"","","","","","","","","","","极光的馈赠","","",""
"","","","","","","","","","","极光石镰","","",""
"","","","","","","","","","","极光钢套","","",""
